title;authors;summary;categories;year;keywords
giMLPs: Gate with Inhibition Mechanism in MLPs;[arxiv.Result.Author('Cheng Kang'), arxiv.Result.Author('Jindich Prokop'), arxiv.Result.Author('Lei Tong'), arxiv.Result.Author('Huiyu Zhou'), arxiv.Result.Author('Yong Hu'), arxiv.Result.Author('Daneil Novak')];"This paper presents a new model architecture, gate with inhibition MLP
(giMLP).The gate with inhibition on CycleMLP (gi-CycleMLP) can produce equal
performance on the ImageNet classification task, and it also improves the BERT,
Roberta, and DeBERTaV3 models depending on two novel techniques. The first is
the gating MLP, where matrix multiplications between the MLP and the trunk
Attention input in further adjust models' adaptation. The second is inhibition
which inhibits or enhances the branch adjustment, and with the inhibition
levels increasing, it offers models more muscular features restriction. We show
that the giCycleMLP with a lower inhibition level can be competitive with the
original CycleMLP in terms of ImageNet classification accuracy. In addition, we
also show through a comprehensive empirical study that these techniques
significantly improve the performance of fine-tuning NLU downstream tasks. As
for the gate with inhibition MLPs on DeBERTa (giDeBERTa) fine-tuning, we find
it can achieve appealing results on most parts of NLU tasks without any extra
pretraining again. We also find that with the use of Gate With Inhibition, the
activation function should have a short and smooth negative tail, with which
the unimportant features or the features that hurt models can be moderately
inhibited. The experiments on ImageNet and twelve language downstream tasks
demonstrate the effectiveness of Gate With Inhibition, both for image
classification and for enhancing the capacity of nature language fine-tuning
without any extra pretraining.";['cs.CL'];2022;[(1.0, 'use'), (4.0, 'unimportant features'), (9.0, 'two novel techniques'), (22.5, 'twelve language downstream tasks demonstrate'), (4.833333333333334, 'tuning without')]
AlexaTM 20B: Few-Shot Learning Using a Large-Scale Multilingual Seq2Seq Model;[arxiv.Result.Author('Saleh Soltan'), arxiv.Result.Author('Shankar Ananthakrishnan'), arxiv.Result.Author('Jack FitzGerald'), arxiv.Result.Author('Rahul Gupta'), arxiv.Result.Author('Wael Hamza'), arxiv.Result.Author('Haidar Khan'), arxiv.Result.Author('Charith Peris'), arxiv.Result.Author('Stephen Rawls'), arxiv.Result.Author('Andy Rosenbaum'), arxiv.Result.Author('Anna Rumshisky'), arxiv.Result.Author('Chandana Satya Prakash'), arxiv.Result.Author('Mukund Sridhar'), arxiv.Result.Author('Fabian Triefenbach'), arxiv.Result.Author('Apurv Verma'), arxiv.Result.Author('Gokhan Tur'), arxiv.Result.Author('Prem Natarajan')];"In this work, we demonstrate that multilingual large-scale
sequence-to-sequence (seq2seq) models, pre-trained on a mixture of denoising
and Causal Language Modeling (CLM) tasks, are more efficient few-shot learners
than decoder-only models on various tasks. In particular, we train a 20 billion
parameter multilingual seq2seq model called Alexa Teacher Model (AlexaTM 20B)
and show that it achieves state-of-the-art (SOTA) performance on 1-shot
summarization tasks, outperforming a much larger 540B PaLM decoder model.
AlexaTM 20B also achieves SOTA in 1-shot machine translation, especially for
low-resource languages, across almost all language pairs supported by the model
(Arabic, English, French, German, Hindi, Italian, Japanese, Marathi,
Portuguese, Spanish, Tamil, and Telugu) on Flores-101 dataset. We also show in
zero-shot setting, AlexaTM 20B outperforms GPT3 (175B) on SuperGLUE and SQuADv2
datasets and provides SOTA performance on multilingual tasks such as XNLI,
XCOPA, Paws-X, and XWinograd. Overall, our results present a compelling case
for seq2seq models as a powerful alternative to decoder-only models for
Large-scale Language Model (LLM) training.";['cs.CL', 'cs.LG'];2022;[(1.0, 'zero'), (1.0, 'xwinograd'), (1.0, 'xnli'), (1.0, 'xcopa'), (1.0, 'x')]
ShortcutLens: A Visual Analytics Approach for Exploring Shortcuts in Natural Language Understanding Dataset;[arxiv.Result.Author('Zhihua Jin'), arxiv.Result.Author('Xingbo Wang'), arxiv.Result.Author('Furui Cheng'), arxiv.Result.Author('Chunhui Sun'), arxiv.Result.Author('Qun Liu'), arxiv.Result.Author('Huamin Qu')];"Benchmark datasets play an important role in evaluating Natural Language
Understanding (NLU) models. However, shortcuts -- unwanted biases in the
benchmark datasets -- can damage the effectiveness of benchmark datasets in
revealing models' real capabilities. Since shortcuts vary in coverage,
productivity, and semantic meaning, it is challenging for NLU experts to
systematically understand and avoid them when creating benchmark datasets. In
this paper, we develop a visual analytics system, ShortcutLens, to help NLU
experts explore shortcuts in NLU benchmark datasets. The system allows users to
conduct multi-level exploration of shortcuts. Specifically, Statistics View
helps users grasp the statistics such as coverage and productivity of shortcuts
in the benchmark dataset. Template View employs hierarchical and interpretable
templates to summarize different types of shortcuts. Instance View allows users
to check the corresponding instances covered by the shortcuts. We conduct case
studies and expert interviews to evaluate the effectiveness and usability of
the system. The results demonstrate that ShortcutLens supports users in gaining
a better understanding of benchmark dataset issues through shortcuts, inspiring
them to create challenging and pertinent benchmark datasets.";['cs.HC', 'cs.CL', 'cs.LG'];2022;[(8.333333333333334, 'visual analytics system'), (1.0, 'usability'), (16.333333333333332, 'template view employs hierarchical'), (4.0, 'systematically understand'), (9.583333333333334, 'system allows users')]
HELP ME THINK: A Simple Prompting Strategy for Non-experts to Create Customized Content with Models;[arxiv.Result.Author('Swaroop Mishra'), arxiv.Result.Author('Elnaz Nouri')];"Controlling the text generated by language models and customizing the content
has been a long-standing challenge. Existing prompting techniques proposed in
pursuit of providing control are task-specific and lack generality; this
provides overwhelming choices for non-expert users to find a suitable method
for their task. The effort associated with those techniques, such as in writing
examples, explanations, instructions, etc. further limits their adoption among
non-expert users. In this paper, we propose a simple prompting strategy HELP ME
THINK where we encourage GPT3 to help non-expert users by asking a set of
relevant questions and leveraging user answers to execute the task. We
demonstrate the efficacy of our technique HELP ME THINK on a variety of tasks.
Specifically, we focus on tasks that are hard for average humans and require
significant thinking to perform. We hope our work will encourage the
development of unconventional ways to harness the power of large language
models.";['cs.CL', 'cs.AI', 'cs.CV', 'cs.HC', 'cs.LG'];2022;[(4.0, 'writing examples'), (1.0, 'work'), (1.0, 'variety'), (4.0, 'unconventional ways'), (1.0, 'think')]
Effective Transfer Learning for Low-Resource Natural Language Understanding;[arxiv.Result.Author('Zihan Liu')];"Natural language understanding (NLU) is the task of semantic decoding of
human languages by machines. NLU models rely heavily on large training data to
ensure good performance. However, substantial languages and domains have very
few data resources and domain experts. It is necessary to overcome the data
scarcity challenge, when very few or even zero training samples are available.
In this thesis, we focus on developing cross-lingual and cross-domain methods
to tackle the low-resource issues. First, we propose to improve the model's
cross-lingual ability by focusing on the task-related keywords, enhancing the
model's robustness and regularizing the representations. We find that the
representations for low-resource languages can be easily and greatly improved
by focusing on just the keywords. Second, we present Order-Reduced Modeling
methods for the cross-lingual adaptation, and find that modeling partial word
orders instead of the whole sequence can improve the robustness of the model
against word order differences between languages and task knowledge transfer to
low-resource languages. Third, we propose to leverage different levels of
domain-related corpora and additional masking of data in the pre-training for
the cross-domain adaptation, and discover that more challenging pre-training
can better address the domain discrepancy issue in the task knowledge transfer.
Finally, we introduce a coarse-to-fine framework, Coach, and a cross-lingual
and cross-domain parsing framework, X2Parser. Coach decomposes the
representation learning process into a coarse-grained and a fine-grained
feature learning, and X2Parser simplifies the hierarchical task structures into
flattened ones. We observe that simplifying task structures makes the
representation learning more effective for low-resource languages and domains.";['cs.CL', 'cs.AI'];2022;[(3.5, 'x2parser simplifies'), (1.5, 'x2parser'), (9.5, 'word order differences'), (4.0, 'whole sequence'), (2.25, 'training')]
Adapting Task-Oriented Dialogue Models for Email Conversations;[arxiv.Result.Author('Soham Deshmukh'), arxiv.Result.Author('Charles Lee')];"Intent detection is a key part of any Natural Language Understanding (NLU)
system of a conversational assistant. Detecting the correct intent is essential
yet difficult for email conversations where multiple directives and intents are
present. In such settings, conversation context can become a key disambiguating
factor for detecting the user's request from the assistant. One prominent way
of incorporating context is modeling past conversation history like
task-oriented dialogue models. However, the nature of email conversations (long
form) restricts direct usage of the latest advances in task-oriented dialogue
models. So in this paper, we provide an effective transfer learning framework
(EMToD) that allows the latest development in dialogue models to be adapted for
long-form conversations. We show that the proposed EMToD framework improves
intent detection performance over pre-trained language models by 45% and over
pre-trained dialogue models by 30% for task-oriented email conversations.
Additionally, the modular nature of the proposed framework allows plug-and-play
for any future developments in both pre-trained language and task-oriented
dialogue models.";['cs.CL'];2022;[(1.0, 'user'), (8.166666666666666, 'trained language models'), (5.333333333333333, 'trained language'), (8.3, 'trained dialogue models'), (2.25, 'task')]
Z-Code++: A Pre-trained Language Model Optimized for Abstractive Summarization;[arxiv.Result.Author('Pengcheng He'), arxiv.Result.Author('Baolin Peng'), arxiv.Result.Author('Liyang Lu'), arxiv.Result.Author('Song Wang'), arxiv.Result.Author('Jie Mei'), arxiv.Result.Author('Yang Liu'), arxiv.Result.Author('Ruochen Xu'), arxiv.Result.Author('Hany Hassan Awadalla'), arxiv.Result.Author('Yu Shi'), arxiv.Result.Author('Chenguang Zhu'), arxiv.Result.Author('Wayne Xiong'), arxiv.Result.Author('Michael Zeng'), arxiv.Result.Author('Jianfeng Gao'), arxiv.Result.Author('Xuedong Huang')];"This paper presents Z-Code++, a new pre-trained language model optimized for
abstractive text summarization. The model extends the state of the art
encoder-decoder model using three techniques. First, we use a two-phase
pre-training process to improve model's performance on low-resource
summarization tasks. The model is first pre-trained using text corpora for
language understanding, and then is continually pre-trained on summarization
corpora for grounded text generation. Second, we replace self-attention layers
in the encoder with disentangled attention layers, where each word is
represented using two vectors that encode its content and position,
respectively. Third, we use fusion-in-encoder, a simple yet effective method of
encoding long sequences in a hierarchical manner. Z-Code++ creates new state of
the art on 9 out of 13 text summarization tasks across 5 languages. Our model
is parameter-efficient in that it outperforms the 600x larger PaLM-540B on
XSum, and the finetuned 200x larger GPT3-175B on SAMSum. In zero-shot and
few-shot settings, our model substantially outperforms the competing models.";"['cs.CL', 'cs.AI', 'cs.CL, cs.GL', 'I.2; I.7']";2022;[(1.0, 'zero'), (2.0, 'z'), (1.0, 'xsum'), (1.0, 'word'), (3.5, 'use fusion')]
IndicSUPERB: A Speech Processing Universal Performance Benchmark for Indian languages;[arxiv.Result.Author('Tahir Javed'), arxiv.Result.Author('Kaushal Santosh Bhogale'), arxiv.Result.Author('Abhigyan Raman'), arxiv.Result.Author('Anoop Kunchukuttan'), arxiv.Result.Author('Pratyush Kumar'), arxiv.Result.Author('Mitesh M. Khapra')];"A cornerstone in AI research has been the creation and adoption of
standardized training and test datasets to earmark the progress of
state-of-the-art models. A particularly successful example is the GLUE dataset
for training and evaluating Natural Language Understanding (NLU) models for
English. The large body of research around self-supervised BERT-based language
models revolved around performance improvements on NLU tasks in GLUE. To
evaluate language models in other languages, several language-specific GLUE
datasets were created. The area of speech language understanding (SLU) has
followed a similar trajectory. The success of large self-supervised models such
as wav2vec2 enable creation of speech models with relatively easy to access
unlabelled data. These models can then be evaluated on SLU tasks, such as the
SUPERB benchmark. In this work, we extend this to Indic languages by releasing
the IndicSUPERB benchmark. Specifically, we make the following three
contributions. (i) We collect Kathbath containing 1,684 hours of labelled
speech data across 12 Indian languages from 1,218 contributors located in 203
districts in India. (ii) Using Kathbath, we create benchmarks across 6 speech
tasks: Automatic Speech Recognition, Speaker Verification, Speaker
Identification (mono/multi), Language Identification, Query By Example, and
Keyword Spotting for 12 languages. (iii) On the released benchmarks, we train
and evaluate different self-supervised models alongside a commonly used
baseline FBANK. We show that language-specific fine-tuned models are more
accurate than baseline on most of the tasks, including a large gap of 76\% for
the Language Identification task. However, for speaker identification,
self-supervised models trained on large datasets demonstrate an advantage. We
hope IndicSUPERB contributes to the progress of developing speech language
understanding models for Indian languages.";['cs.CL', 'cs.SD', 'eess.AS'];2022;[(1.0, 'work'), (8.0, 'wav2vec2 enable creation'), (5.0, 'using kathbath'), (4.818181818181818, 'tuned models'), (1.5, 'training')]
Language Detoxification with Attribute-Discriminative Latent Space;[arxiv.Result.Author('Jin Myung Kwak'), arxiv.Result.Author('Minseon Kim'), arxiv.Result.Author('Sung Ju Hwang')];"Transformer-based Language Models (LMs) achieve remarkable performances on a
variety of NLU tasks, but are also prone to generating toxic texts such as
insults, threats, and profanities which limit their adaptations to the
real-world applications. To overcome this issue, a few text generation
approaches aim to detoxify toxic texts with additional LMs or perturbations.
However, previous methods require excessive memory, computations, and time
which are serious bottlenecks in their real-world application. To address such
limitations, we propose an effective yet efficient method for language
detoxification using an attribute-discriminative latent space. Specifically, we
project the latent space of an original Transformer LM to a discriminative
latent space on which the texts are well-separated by their attributes, with
the help of a projection block and a discriminator. This allows the LM to
control the text generation to be non-toxic with minimal memory and computation
overhead. We validate our model, Attribute-Discriminative Language Model (ADLM)
on detoxified language and dialogue generation tasks, on which our method
significantly outperforms baselines both in performance and efficiency.";['cs.CL', 'cs.AI'];2022;[(4.0, 'world applications'), (4.0, 'world application'), (1.0, 'well'), (1.0, 'variety'), (1.0, 'validate')]
Training Dynamics for Curriculum Learning: A Study on Monolingual and Cross-lingual NLU;[arxiv.Result.Author('Fenia Christopoulou'), arxiv.Result.Author('Gerasimos Lampouras'), arxiv.Result.Author('Ignacio Iacobacci')];"Curriculum Learning (CL) is a technique of training models via ranking
examples in a typically increasing difficulty trend with the aim of
accelerating convergence and improving generalisability. Current approaches for
Natural Language Understanding (NLU) tasks use CL to improve in-distribution
data performance often via heuristic-oriented or task-agnostic difficulties. In
this work, instead, we employ CL for NLU by taking advantage of training
dynamics as difficulty metrics, i.e., statistics that measure the behavior of
the model at hand on specific task-data instances during training and propose
modifications of existing CL schedulers based on these statistics. Differently
from existing works, we focus on evaluating models on in-distribution (ID),
out-of-distribution (OOD) as well as zero-shot (ZS) cross-lingual transfer
datasets. We show across several NLU tasks that CL with training dynamics can
result in better performance mostly on zero-shot cross-lingual transfer and OOD
settings with improvements up by 8.5% in certain cases. Overall, experiments
indicate that training dynamics can lead to better performing models with
smoother training compared to other difficulty metrics while being 20% faster
on average. In addition, through analysis we shed light on the correlations of
task-specific versus task-agnostic metrics.";['cs.CL'];2022;[(1.0, 'zs'), (1.0, 'zero'), (1.0, 'zero'), (1.0, 'work'), (1.0, 'well')]
Prompt-Tuning Can Be Much Better Than Fine-Tuning on Cross-lingual Understanding With Multilingual Language Models;[arxiv.Result.Author('Lifu Tu'), arxiv.Result.Author('Caiming Xiong'), arxiv.Result.Author('Yingbo Zhou')];"Pre-trained multilingual language models show significant performance gains
for zero-shot cross-lingual model transfer on a wide range of natural language
understanding (NLU) tasks. Previously, for zero-shot cross-lingual evaluation,
pre-trained models are only fine-tuned on English data and tested on a variety
of target languages. In this paper, we do cross-lingual evaluation on various
NLU tasks (sentence classification, sequence labeling, question answering)
using prompt-tuning and compare it with fine-tuning. The results show that
prompt tuning achieves much better cross-lingual transfer than fine-tuning
across datasets, with only 0.1% to 0.3% tuned parameters. Additionally, we
demonstrate through the analysis that prompt tuning can have better
cross-lingual transferability of representations on downstream tasks with
better aligned decision boundaries.";['cs.CL', 'cs.AI'];2022;[(1.0, 'zero'), (1.0, 'zero'), (4.0, 'wide range'), (7.0, 'various nlu tasks'), (1.0, 'variety')]
Dense Feature Memory Augmented Transformers for COVID-19 Vaccination Search Classification;[arxiv.Result.Author('Jai Gupta'), arxiv.Result.Author('Yi Tay'), arxiv.Result.Author('Chaitanya Kamath'), arxiv.Result.Author('Vinh Q. Tran'), arxiv.Result.Author('Donald Metzler'), arxiv.Result.Author('Shailesh Bavadekar'), arxiv.Result.Author('Mimi Sun'), arxiv.Result.Author('Evgeniy Gabrilovich')];"With the devastating outbreak of COVID-19, vaccines are one of the crucial
lines of defense against mass infection in this global pandemic. Given the
protection they provide, vaccines are becoming mandatory in certain social and
professional settings. This paper presents a classification model for detecting
COVID-19 vaccination related search queries, a machine learning model that is
used to generate search insights for COVID-19 vaccinations. The proposed method
combines and leverages advancements from modern state-of-the-art (SOTA) natural
language understanding (NLU) techniques such as pretrained Transformers with
traditional dense features. We propose a novel approach of considering dense
features as memory tokens that the model can attend to. We show that this new
modeling approach enables a significant improvement to the Vaccine Search
Insights (VSI) task, improving a strong well-established gradient-boosting
baseline by relative +15% improvement in F1 score and +14% in precision.";['cs.IR', 'cs.AI', 'cs.LG', 'I.2.7'];2022;[(1.0, 'vsi'), (1.0, 'vaccines'), (1.0, 'vaccines'), (9.666666666666666, 'vaccine search insights'), (1.0, 'used')]
AutoCAD: Automatically Generating Counterfactuals for Mitigating Shortcut Learning;[arxiv.Result.Author('Jiaxin Wen'), arxiv.Result.Author('Yeshuang Zhu'), arxiv.Result.Author('Jinchao Zhang'), arxiv.Result.Author('Jie Zhou'), arxiv.Result.Author('Minlie Huang')];"Recent studies have shown the impressive efficacy of counterfactually
augmented data (CAD) for reducing NLU models' reliance on spurious features and
improving their generalizability. However, current methods still heavily rely
on human efforts or task-specific designs to generate counterfactuals, thereby
impeding CAD's applicability to a broad range of NLU tasks. In this paper, we
present AutoCAD, a fully automatic and task-agnostic CAD generation framework.
AutoCAD first leverages a classifier to unsupervisedly identify rationales as
spans to be intervened, which disentangles spurious and causal features. Then,
AutoCAD performs controllable generation enhanced by unlikelihood training to
produce diverse counterfactuals. Extensive evaluations on multiple
out-of-domain and challenge benchmarks demonstrate that AutoCAD consistently
and significantly boosts the out-of-distribution performance of powerful
pre-trained models across different NLU tasks, which is comparable or even
better than previous state-of-the-art human-in-the-loop or task-specific CAD
methods. The code is publicly available at https://github.com/thu-coai/AutoCAD.";['cs.AI', 'cs.CL'];2022;[(9.0, 'unsupervisedly identify rationales'), (4.0, 'unlikelihood training'), (30.166666666666668, 'trained models across different nlu tasks'), (1.0, 'thu'), (8.75, 'thereby impeding cad')]
Demystifying Prompts in Language Models via Perplexity Estimation;[arxiv.Result.Author('Hila Gonen'), arxiv.Result.Author('Srini Iyer'), arxiv.Result.Author('Terra Blevins'), arxiv.Result.Author('Noah A. Smith'), arxiv.Result.Author('Luke Zettlemoyer')];"Language models can be prompted to perform a wide variety of zero- and
few-shot learning problems. However, performance varies significantly with the
choice of prompt, and we do not yet understand why this happens or how to pick
the best prompts. In this work, we analyze the factors that contribute to this
variance and establish a new empirical hypothesis: the performance of a prompt
is coupled with the extent to which the model is familiar with the language it
contains. Over a wide range of tasks, we show that the lower the perplexity of
the prompt is, the better the prompt is able to perform the task. As a result,
we devise a method for creating prompts: (1) automatically extend a small seed
set of manually written prompts by paraphrasing using GPT3 and backtranslation
and (2) choose the lowest perplexity prompts to get significant gains in
performance.";['cs.CL'];2022;[(1.0, 'zero'), (4.0, 'yet understand'), (1.0, 'work'), (4.0, 'wide variety'), (4.0, 'wide range')]
Feature-Level Debiased Natural Language Understanding;[arxiv.Result.Author('Yougang Lyu'), arxiv.Result.Author('Piji Li'), arxiv.Result.Author('Yechang Yang'), arxiv.Result.Author('Maarten de Rijke'), arxiv.Result.Author('Pengjie Ren'), arxiv.Result.Author('Yukun Zhao'), arxiv.Result.Author('Dawei Yin'), arxiv.Result.Author('Zhaochun Ren')];"Natural language understanding (NLU) models often rely on dataset biases
rather than intended task-relevant features to achieve high performance on
specific datasets. As a result, these models perform poorly on datasets outside
the training distribution. Some recent studies address this issue by reducing
the weights of biased samples during the training process. However, these
methods still encode biased latent features in representations and neglect the
dynamic nature of bias, which hinders model prediction. We propose an NLU
debiasing method, named debiasing contrastive learning (DCT), to simultaneously
alleviate the above problems based on contrastive learning. We devise a
debiasing, positive sampling strategy to mitigate biased latent features by
selecting the least similar biased positive samples. We also propose a dynamic
negative sampling strategy to capture the dynamic influence of biases by
employing a bias-only model to dynamically select the most similar biased
negative samples. We conduct experiments on three NLU benchmark datasets.
Experimental results show that DCT outperforms state-of-the-art baselines on
out-of-distribution datasets while maintaining in-distribution performance. We
also verify that DCT can reduce biased latent features from the model's
representation.";['cs.CL'];2022;[(1.0, 'weights'), (4.0, 'training process'), (4.0, 'training distribution'), (13.166666666666666, 'three nlu benchmark datasets'), (4.5, 'specific datasets')]
Collaborating Heterogeneous Natural Language Processing Tasks via Federated Learning;[arxiv.Result.Author('Chenhe Dong'), arxiv.Result.Author('Yuexiang Xie'), arxiv.Result.Author('Bolin Ding'), arxiv.Result.Author('Ying Shen'), arxiv.Result.Author('Yaliang Li')];"The increasing privacy concerns on personal private text data promote the
development of federated learning (FL) in recent years. However, the existing
studies on applying FL in NLP are not suitable to coordinate participants with
heterogeneous or private learning objectives. In this study, we further broaden
the application scope of FL in NLP by proposing an Assign-Then-Contrast
(denoted as ATC) framework, which enables clients with heterogeneous NLP tasks
to construct an FL course and learn useful knowledge from each other.
Specifically, the clients are suggested to first perform local training with
the unified tasks assigned by the server rather than using their own learning
objectives, which is called the Assign training stage. After that, in the
Contrast training stage, clients train with different local learning objectives
and exchange knowledge with other clients who contribute consistent and useful
model updates. We conduct extensive experiments on six widely-used datasets
covering both Natural Language Understanding (NLU) and Natural Language
Generation (NLG) tasks, and the proposed ATC framework achieves significant
improvements compared with various baseline methods. The source code is
available at
\url{https://github.com/alibaba/FederatedScope/tree/master/federatedscope/nlp/hetero_tasks}.";['cs.CL'];2022;[(9.0, 'various baseline methods'), (1.0, 'using'), (9.0, 'useful model updates'), (9.0, 'used datasets covering'), (1.0, 'url')]
Continuation KD: Improved Knowledge Distillation through the Lens of Continuation Optimization;[arxiv.Result.Author('Aref Jafari'), arxiv.Result.Author('Ivan Kobyzev'), arxiv.Result.Author('Mehdi Rezagholizadeh'), arxiv.Result.Author('Pascal Poupart'), arxiv.Result.Author('Ali Ghodsi')];"Knowledge Distillation (KD) has been extensively used for natural language
understanding (NLU) tasks to improve a small model's (a student) generalization
by transferring the knowledge from a larger model (a teacher). Although KD
methods achieve state-of-the-art performance in numerous settings, they suffer
from several problems limiting their performance. It is shown in the literature
that the capacity gap between the teacher and the student networks can make KD
ineffective. Additionally, existing KD techniques do not mitigate the noise in
the teacher's output: modeling the noisy behaviour of the teacher can distract
the student from learning more useful features. We propose a new KD method that
addresses these problems and facilitates the training compared to previous
techniques. Inspired by continuation optimization, we design a training
procedure that optimizes the highly non-convex KD objective by starting with
the smoothed version of this objective and making it more complex as the
training proceeds. Our method (Continuation-KD) achieves state-of-the-art
performance across various compact architectures on NLU (GLUE benchmark) and
computer vision tasks (CIFAR-10 and CIFAR-100).";['cs.LG', 'cs.CL'];2022;[(4.0, 'useful features'), (1.0, 'transferring'), (4.0, 'training proceeds'), (4.0, 'training procedure'), (4.0, 'training compared')]
The Massively Multilingual Natural Language Understanding 2022 (MMNLU-22) Workshop and Competition;[arxiv.Result.Author('Christopher Hench'), arxiv.Result.Author('Charith Peris'), arxiv.Result.Author('Jack FitzGerald'), arxiv.Result.Author('Kay Rottmann')];"Despite recent progress in Natural Language Understanding (NLU), the creation
of multilingual NLU systems remains a challenge. It is common to have NLU
systems limited to a subset of languages due to lack of available data. They
also often vary widely in performance. We launch a three-phase approach to
address the limitations in NLU and help propel NLU technology to new heights.
We release a 52 language dataset called the Multilingual Amazon SLU resource
package (SLURP) for Slot-filling, Intent classification, and Virtual assistant
Evaluation, or MASSIVE, in an effort to address parallel data availability for
voice assistants. We organize the Massively Multilingual NLU 2022 Challenge to
provide a competitive environment and push the state-of-the art in the
transferability of models into other languages. Finally, we host the first
Massively Multilingual NLU workshop which brings these components together. The
MMNLU workshop seeks to advance the science behind multilingual NLU by
providing a platform for the presentation of new research in the field and
connecting teams working on this research direction. This paper summarizes the
dataset, workshop and the competition and the findings of each phase.";['cs.CL'];2022;[(3.0, 'workshop'), (4.0, 'voice assistants'), (9.0, 'virtual assistant evaluation'), (1.0, 'transferability'), (1.0, 'three')]
Foresight -- Deep Generative Modelling of Patient Timelines using Electronic Health Records;[arxiv.Result.Author('Zeljko Kraljevic'), arxiv.Result.Author('Dan Bean'), arxiv.Result.Author('Anthony Shek'), arxiv.Result.Author('Rebecca Bendayan'), arxiv.Result.Author('Joshua Au Yeung'), arxiv.Result.Author('Alexander Deng'), arxiv.Result.Author('Alfie Baston'), arxiv.Result.Author('Jack Ross'), arxiv.Result.Author('Esther Idowu'), arxiv.Result.Author('James T Teo'), arxiv.Result.Author('Richard J Dobson')];"Electronic Health Records (EHRs) hold detailed longitudinal information about
each patient's health status and general clinical history, a large portion of
which is stored within the unstructured text. Temporal modelling of this
medical history, which considers the sequence of events, can be used to
forecast and simulate future events, estimate risk, suggest alternative
diagnoses or forecast complications. While most prediction approaches use
mainly structured data or a subset of single-domain forecasts and outcomes, we
processed the entire free-text portion of EHRs for longitudinal modelling. We
present Foresight, a novel GPT3-based pipeline that uses NER+L tools (i.e.
MedCAT) to convert document text into structured, coded concepts, followed by
providing probabilistic forecasts for future medical events such as disorders,
medications, symptoms and interventions. Since large portions of EHR data are
in text form, such an approach benefits from a granular and detailed view of a
patient while introducing modest additional noise. On tests in two large UK
hospitals (King's College Hospital, South London and Maudsley) and the US
MIMIC-III dataset precision@10 of 0.80, 0.81 and 0.91 was achieved for
forecasting the next biomedical concept. Foresight was also validated on 34
synthetic patient timelines by 5 clinicians and achieved relevancy of 97% for
the top forecasted candidate disorder. Foresight can be easily trained and
deployed locally as it only requires free-text data (as a minimum). As a
generative model, it can simulate follow-on disorders, medications and
interventions for as many steps as required. Foresight is a general-purpose
model for biomedical concept modelling that can be used for real-world risk
estimation, virtual trials and clinical research to study the progression of
diseases, simulate interventions and counterfactuals, and for educational
purposes.";['cs.CL', 'cs.AI', 'cs.LG'];2022;[(8.5, 'world risk estimation'), (4.0, 'virtual trials'), (4.0, 'uses ner'), (1.0, 'used'), (1.0, 'used')]
Evaluating Byte and Wordpiece Level Models for Massively Multilingual Semantic Parsing;[arxiv.Result.Author('Massimo Nicosia'), arxiv.Result.Author('Francesco Piccinno')];"Token free approaches have been successfully applied to a series of word and
span level tasks. In this work, we compare a byte-level (ByT5) and a wordpiece
based (mT5) sequence to sequence model on the 51 languages of the MASSIVE
multilingual semantic parsing dataset. We examine multiple experimental
settings: (i) zero-shot, (ii) full gold data and (iii) zero-shot with synthetic
data. By leveraging a state-of-the-art label projection method for machine
translated examples, we are able to reduce the gap in exact match accuracy to
only 5 points with respect to a model trained on gold data from all the
languages. We additionally provide insights on the cross-lingual transfer of
ByT5 and show how the model compares with respect to mT5 across all parameter
sizes.";['cs.CL'];2022;[(1.0, 'zero'), (1.0, 'zero'), (1.0, 'work'), (4.0, 'wordpiece based'), (1.0, 'word')]
The KITMUS Test: Evaluating Knowledge Integration from Multiple Sources in Natural Language Understanding Systems;[arxiv.Result.Author('Akshatha Arodi'), arxiv.Result.Author('Martin Pömsl'), arxiv.Result.Author('Kaheer Suleman'), arxiv.Result.Author('Adam Trischler'), arxiv.Result.Author('Alexandra Olteanu'), arxiv.Result.Author('Jackie Chi Kit Cheung')];"Many state-of-the-art natural language understanding (NLU) models are based
on pretrained neural language models. These models often make inferences using
information from multiple sources. An important class of such inferences are
those that require both background knowledge, presumably contained in a model's
pretrained parameters, and instance-specific information that is supplied at
inference time. However, the integration and reasoning abilities of NLU models
in the presence of multiple knowledge sources have been largely understudied.
In this work, we propose a test suite of coreference resolution tasks that
require reasoning over multiple facts. Our dataset is organized into subtasks
that differ in terms of which knowledge sources contain relevant facts. We
evaluate state-of-the-art coreference resolution models on our dataset. Our
results indicate that several models struggle to reason on-the-fly over
knowledge observed both at pretrain time and at inference time. However, with
task-specific training, a subset of models demonstrates the ability to
integrate certain knowledge types from multiple sources.";['cs.CL', 'cs.LG'];2022;[(1.0, 'work'), (4.0, 'test suite'), (1.0, 'terms'), (1.0, 'task'), (1.0, 'supplied')]
